RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.9777576,41.275154,1151.092,3734.951,25.248,0.058,26.961,0.093,0.838,0.526,0.023,-0.041,-1.713
49.9918413,41.277282,1928.423,3736.177,25.189,0.054,26.743,0.084,0.783,0.593,0.151,-0.046,-1.554
49.9646913,41.2721034,414.483,3809.644,24.158,0.05,25.702,0.06,1.319,1.088,0.187,0.197,-1.544
49.9814097,41.2742674,1332.091,3836.779,23.877,0.04,25.23,0.038,1.064,0.829,0.044,-0.028,-1.353
49.9958311,41.2762864,2125.779,3849.293,25.462,0.047,26.954,0.091,0.488,0.51,0.015,0,-1.492
49.9943412,41.2752496,2031.944,3906.45,23.569,0.047,25.213,0.035,1.488,0.736,0.118,0.086,-1.644
49.9790544,41.2728925,1187.51,3908.477,24.756,0.049,26.098,0.049,0.941,0.543,0.187,-0.113,-1.342
50.0051307,41.2767668,2625.842,3915.27,24.907,0.043,26.236,0.072,0.684,0.863,0.027,-0.047,-1.329
49.9962402,41.2742566,2118.465,3996.928,24.973,0.059,26.434,0.073,1.066,0.688,0.199,0.047,-1.461
50.0003527,41.2746726,2342.515,4011.74,25.461,0.057,26.864,0.108,0.684,0.753,0.074,0.221,-1.403
50.0076503,41.2757488,2744.925,4014.159,23.589,0.024,25.105,0.035,0.518,0.795,0.047,-0.093,-1.516
49.9935768,41.2732829,1963.288,4037.025,24.973,0.048,26.556,0.094,0.766,0.888,0.084,0.212,-1.583
50.014632,41.2762693,3122.64,4052.358,25.319,0.076,26.41,0.108,1.209,1.272,0.244,0.161,-1.091
49.9952257,41.2731949,2049.482,4060.948,24.855,0.044,26.391,0.072,0.744,0.703,0.082,-0.005,-1.536
49.996143,41.2731919,2098.087,4071.015,25.302,0.063,26.737,0.075,0.898,0.453,0.125,-0.045,-1.435
50.0111174,41.2751633,2920.445,4092.693,23.421,0.037,24.781,0.032,1.11,0.868,0.029,-0.024,-1.36
50.0326899,41.2781183,4106.753,4115.549,24.188,0.05,25.594,0.057,1.29,1.123,0.219,0.252,-1.406
50.0022231,41.2730905,2419.109,4143.479,25.4,0.055,26.879,0.094,0.671,0.602,0.067,-0.031,-1.479
49.9532158,41.3213006,510.833,214.752,22.924,0.035,24.092,0.022,1.119,0.68,-0.048,-0.031,-1.168
50.0087531,41.3279472,3548.981,342.408,25.412,0.073,26.827,0.089,1.035,0.567,0.218,0.032,-1.415
49.9681121,41.3210174,1296.176,394.971,25.167,0.058,27.111,0.101,0.887,0.477,0.087,-0.182,-1.944
49.9643799,41.3196762,1079.189,449.473,23.3,0.046,24.669,0.033,1.557,0.982,0.155,0.086,-1.369
49.9694349,41.3185704,1331.246,581.856,24.711,0.046,26.692,0.081,0.869,0.597,0.162,-0.007,-1.981
49.9502757,41.3134875,243.062,734.405,24.963,0.052,26.302,0.098,0.902,1.242,0.115,0.053,-1.339
49.9491707,41.3119278,162.146,832.561,24.769,0.047,26.122,0.064,0.888,0.814,0.1,0.113,-1.353
49.9647032,41.3128314,998.31,935.93,23.28,0.033,24.628,0.033,0.93,1.016,0.121,0.17,-1.348
49.9617347,41.3121,830.504,955.611,25.115,0.054,26.809,0.081,0.827,0.46,0.075,-0.094,-1.694
49.9973437,41.3170297,2788.327,990.408,25.025,0.063,26.604,0.104,1.159,0.992,0.139,0.237,-1.579
49.9527141,41.3089429,307.174,1081.317,24.242,0.059,26.117,0.079,1.58,1.098,0.21,0.242,-1.875
50.0046369,41.3149657,3145.39,1214.335,25.459,0.072,26.832,0.136,1.01,1.142,0.232,0.243,-1.373
49.9561318,41.3054054,437.639,1367.705,25.216,0.069,26.884,0.105,1.093,0.684,0.258,-0.004,-1.668
49.9760081,41.3081812,1530.933,1385.619,23.49,0.054,25.132,0.053,1.727,1.364,0.244,0.26,-1.642
49.9648863,41.3064667,916.875,1387.01,24.281,0.053,25.525,0.063,1.264,1.304,0.201,0.122,-1.244
49.9961144,41.3091594,2610.681,1532.59,24.076,0.052,25.579,0.068,1.414,1.435,0.022,0.209,-1.503
49.9678405,41.3045177,1045.561,1556.307,24.368,0.052,25.636,0.075,1.06,1.421,0.029,0.168,-1.268
49.9676895,41.3038944,1028.632,1598.661,25.106,0.079,26.39,0.125,0.968,1.25,0.247,0.259,-1.284
49.9666012,41.3021015,945.276,1713.472,25.319,0.081,27.132,0.146,0.865,0.655,0.006,-0.117,-1.813
49.976376,41.3034101,1482.159,1726.238,25.026,0.048,26.862,0.104,0.593,0.63,-0.025,0.171,-1.836
49.9666572,41.3015841,940.838,1750.582,24.977,0.05,26.365,0.117,0.611,1.289,0.026,-0.102,-1.388
49.9975526,41.3062243,2644.961,1755.156,24.163,0.06,25.607,0.054,1.643,1.019,0.266,0.098,-1.444
49.9748932,41.3021972,1386.198,1795.886,24.984,0.073,26.927,0.14,0.908,0.77,0.051,0.025,-1.943
49.9860577,41.3032663,1993.328,1840.43,25.331,0.076,26.8,0.088,1.153,0.547,-0.031,0.127,-1.469
49.9739765,41.3013679,1325.737,1844.55,24.412,0.057,26.159,0.123,0.926,1.426,0.049,-0.165,-1.747
49.9744604,41.3012559,1349.788,1857.651,24.958,0.08,26.995,0.135,0.99,0.608,0.116,0.094,-2.037
